t,Q
30/10/2023 00:46:00,112.51
30/10/2023 00:47:00,113.371
30/10/2023 00:48:00,112.901
30/10/2023 00:49:00,112.931
30/10/2023 00:50:00,112.108
30/10/2023 00:51:00,112.667
30/10/2023 00:52:00,112.666
30/10/2023 00:53:00,112.141
30/10/2023 00:54:00,112.31
30/10/2023 00:55:00,112.187
30/10/2023 00:56:00,112.831
30/10/2023 00:57:00,112.109
30/10/2023 00:58:00,112.119
30/10/2023 00:59:00,112.844
30/10/2023 01:00:00,112.218
30/10/2023 01:01:00,112.126
30/10/2023 01:02:00,112.084
30/10/2023 01:03:00,113.095
30/10/2023 01:04:00,113.081
30/10/2023 01:05:00,113.899
30/10/2023 01:06:00,112.774
30/10/2023 01:07:00,113.234
30/10/2023 01:08:00,111.995
30/10/2023 01:09:00,111.965
30/10/2023 01:10:00,112.829
30/10/2023 01:11:00,113.024
30/10/2023 01:12:00,111.728
30/10/2023 01:13:00,112.246
30/10/2023 01:14:00,112.237
30/10/2023 01:15:00,112.561
30/10/2023 01:16:00,112.686
30/10/2023 01:17:00,112.999
30/10/2023 01:18:00,112.099
30/10/2023 01:19:00,112.938
30/10/2023 01:20:00,112.638
30/10/2023 01:21:00,111.682
30/10/2023 01:22:00,112.786
30/10/2023 01:23:00,112.625
30/10/2023 01:24:00,112.482
30/10/2023 01:25:00,112.379
30/10/2023 01:26:00,112.328
30/10/2023 01:27:00,112.329
30/10/2023 01:28:00,112.635
30/10/2023 01:29:00,112.049
30/10/2023 01:30:00,112.576
30/10/2023 01:31:00,112.75
30/10/2023 01:32:00,111.763
30/10/2023 01:33:00,112.113
30/10/2023 01:34:00,111.831
30/10/2023 01:35:00,112.554
30/10/2023 01:36:00,112.123
30/10/2023 01:37:00,112.903
30/10/2023 01:38:00,112.393
30/10/2023 01:39:00,112.15
30/10/2023 01:40:00,113.299
30/10/2023 01:41:00,113.243
30/10/2023 01:42:00,112.109
30/10/2023 01:43:00,112.158
30/10/2023 01:44:00,113.337
30/10/2023 01:45:00,112.058
30/10/2023 01:46:00,113.446
30/10/2023 01:47:00,113.358
30/10/2023 01:48:00,112.069
30/10/2023 01:49:00,112.997
30/10/2023 01:50:00,113.267
30/10/2023 01:51:00,112.379
30/10/2023 01:52:00,113.093
30/10/2023 01:53:00,112.387
30/10/2023 01:54:00,112.79
30/10/2023 01:55:00,111.933
30/10/2023 01:56:00,112.93
30/10/2023 01:57:00,112.621
30/10/2023 01:58:00,112.849
30/10/2023 01:59:00,112.728
30/10/2023 02:00:00,112.575
30/10/2023 02:01:00,112.471
30/10/2023 02:02:00,112.933
30/10/2023 02:03:00,113.002
30/10/2023 02:04:00,112.002
30/10/2023 02:05:00,113.131
30/10/2023 02:06:00,112.555
30/10/2023 02:07:00,112.684
30/10/2023 02:08:00,112.551
30/10/2023 02:09:00,112.757
30/10/2023 02:10:00,113.38
30/10/2023 02:11:00,113.031
30/10/2023 02:12:00,113.135
30/10/2023 02:13:00,112.666
30/10/2023 02:14:00,112.564
30/10/2023 02:15:00,113.436
30/10/2023 02:16:00,113.018
30/10/2023 02:17:00,112.255
30/10/2023 02:18:00,112.972
30/10/2023 02:19:00,112.604
30/10/2023 02:20:00,112.41
30/10/2023 02:21:00,112.038
30/10/2023 02:22:00,112.515
30/10/2023 02:23:00,113.27
30/10/2023 02:24:00,112.178
30/10/2023 02:25:00,112.086
30/10/2023 02:26:00,112.834
30/10/2023 02:27:00,112.54
30/10/2023 02:28:00,112.652
30/10/2023 02:29:00,112.902
30/10/2023 02:30:00,113.043
30/10/2023 02:31:00,112.14
30/10/2023 02:32:00,112.184
30/10/2023 02:33:00,111.939
30/10/2023 02:34:00,112.572
30/10/2023 02:35:00,112.26
30/10/2023 02:36:00,111.599
30/10/2023 02:37:00,113.105
30/10/2023 02:38:00,112.787
30/10/2023 02:39:00,112.191
30/10/2023 02:40:00,112.679
30/10/2023 02:41:00,111.924
30/10/2023 02:42:00,112.595
30/10/2023 02:43:00,112.803
30/10/2023 02:44:00,112.837
30/10/2023 02:45:00,113.553
30/10/2023 02:46:00,113.295
30/10/2023 02:47:00,112.538
30/10/2023 02:48:00,112.598
30/10/2023 02:49:00,113.113
30/10/2023 02:50:00,112.375
30/10/2023 02:51:00,112.836
30/10/2023 02:52:00,113.281
30/10/2023 02:53:00,112.218
30/10/2023 02:54:00,112.261
30/10/2023 02:55:00,113.301
30/10/2023 02:56:00,112.524
30/10/2023 02:57:00,113
30/10/2023 02:58:00,112.714
30/10/2023 02:59:00,112.751
30/10/2023 03:00:00,112.642
30/10/2023 03:01:00,112.925
30/10/2023 03:02:00,112.543
30/10/2023 03:03:00,112.592
30/10/2023 03:04:00,113.016
30/10/2023 03:05:00,112.116
30/10/2023 03:06:00,113.175
30/10/2023 03:07:00,113.663
30/10/2023 03:08:00,113.115
30/10/2023 03:09:00,112.763
30/10/2023 03:10:00,112.788
30/10/2023 03:11:00,112.527
30/10/2023 03:12:00,112.731
30/10/2023 03:13:00,112.225
30/10/2023 03:14:00,112.909
30/10/2023 03:15:00,112.72
30/10/2023 03:16:00,112.664
30/10/2023 03:17:00,113.049
30/10/2023 03:18:00,113.285
30/10/2023 03:19:00,112.425
30/10/2023 03:20:00,113.038
30/10/2023 03:21:00,113.101
30/10/2023 03:22:00,112.632
30/10/2023 03:23:00,112.721
30/10/2023 03:24:00,112.752
30/10/2023 03:25:00,112.639
30/10/2023 03:26:00,112.109
30/10/2023 03:27:00,111.944
30/10/2023 03:28:00,112.226
30/10/2023 03:29:00,113.246
30/10/2023 03:30:00,112.837
30/10/2023 03:31:00,112.871
30/10/2023 03:32:00,112.075
30/10/2023 03:33:00,112.029
30/10/2023 03:34:00,112.667
30/10/2023 03:35:00,112.72
30/10/2023 03:36:00,113.371
30/10/2023 03:37:00,112.937
30/10/2023 03:38:00,113.039
30/10/2023 03:39:00,112.348
30/10/2023 03:40:00,112.637
30/10/2023 03:41:00,111.676
30/10/2023 03:42:00,112.413
30/10/2023 03:43:00,113.072
30/10/2023 03:44:00,112.489
30/10/2023 03:45:00,112.683
30/10/2023 03:46:00,112.405
30/10/2023 03:47:00,112.269
30/10/2023 03:48:00,113.273
30/10/2023 03:49:00,112.383
30/10/2023 03:50:00,111.901
30/10/2023 03:51:00,112.474
30/10/2023 03:52:00,112.637
30/10/2023 03:53:00,112.468
30/10/2023 03:54:00,112.217
30/10/2023 03:55:00,113.098
30/10/2023 03:56:00,113.422
30/10/2023 03:57:00,112.342
30/10/2023 03:58:00,112.921
30/10/2023 03:59:00,112.509
30/10/2023 04:00:00,113.114
30/10/2023 04:01:00,112.851
30/10/2023 04:02:00,113.348
30/10/2023 04:03:00,112.672
30/10/2023 04:04:00,112.541
30/10/2023 04:05:00,112.496
30/10/2023 04:06:00,112.37
30/10/2023 04:07:00,113.847
30/10/2023 04:08:00,112.551
30/10/2023 04:09:00,112.602
30/10/2023 04:10:00,114.046
30/10/2023 04:11:00,113.093
30/10/2023 04:12:00,113.617
30/10/2023 04:13:00,114.153
30/10/2023 04:14:00,113.667
30/10/2023 04:15:00,113.672
30/10/2023 04:16:00,113.408
30/10/2023 04:17:00,112.737
30/10/2023 04:18:00,112.866
30/10/2023 04:19:00,113.559
30/10/2023 04:20:00,113.132
30/10/2023 04:21:00,113.528
30/10/2023 04:22:00,113.955
30/10/2023 04:23:00,112.541
30/10/2023 04:24:00,112.507
30/10/2023 04:25:00,113.27
